n_most_similar,failure_rate,accuracy,f1
10,0.16447368421052633,0.674178658702145,0.7008973080757727
50,0.20372050816696916,0.705982905982906,0.7323651452282158
100,0.25249546279491836,0.7171471927162367,0.7214584578601315
200,0.37409255898366606,0.7564334903950707,0.7632135306553911
300,0.3827132486388385,0.768834987137082,0.7767128150514732
